"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1802842123777323245","Mon Jun 17 23:13:52 +0000 2024","0","gula doang","1802842123777323245","","","in","he/him","0","1","0","https://x.com/stvckonthepuzzl/status/1802842123777323245","1527503670484803584","stvckonthepuzzl"
"1802730569471779016","Mon Jun 17 23:13:37 +0000 2024","0","@dxnldy jangan atuh bang","1802842063517712623","","dxnldy","in","Bandung Kulon, Indonesia","0","0","0","https://x.com/merowkock/status/1802842063517712623","1639645340524761089","merowkock"
"1802216923922628790","Mon Jun 17 23:12:44 +0000 2024","1","@udhyake doain ke kita terhindar dari neraka","1802841838191317100","","udhyake","in","","0","0","0","https://x.com/cahkweh/status/1802841838191317100","1778588180272533504","cahkweh"
"1802009810902347960","Mon Jun 17 23:11:39 +0000 2024","1","@araishayey @znyawznn emang","1802841569156046999","","araishayey","in","","0","0","0","https://x.com/cahkweh/status/1802841569156046999","1778588180272533504","cahkweh"
"1802654487020253667","Mon Jun 17 23:10:41 +0000 2024","1","@udhyake @jaleyjaleyy Wkwkwk","1802841324799906207","","udhyake","in","","0","0","0","https://x.com/cahkweh/status/1802841324799906207","1778588180272533504","cahkweh"
"1802697397082231250","Mon Jun 17 23:09:39 +0000 2024","0","@zero_absolutee Iya setuju bgt Kak apalagi sekarang udah banyak makanan ultra proses atau Ultra Processed Food (UPF). Gk kebayang berapa gram natrium dan gula yg ada per takaran saji","1802841062740017445","","zero_absolutee","in","Indonesia","0","0","0","https://x.com/prim_arvensis/status/1802841062740017445","2362230572","prim_arvensis"
"1802840567250071754","Mon Jun 17 23:07:41 +0000 2024","0","Selalu melakukan adegan dewasa alias kalau belanja udah merhatiin banget label informasi gizi yang selalu di tuju gula dan natrium nya berapa. Ini susu gula nya tinggi banget pliss ","1802840567250071754","","","in","","0","0","0","https://x.com/yuaannyeong/status/1802840567250071754","1463824534021103620","yuaannyeong"
"1802367113115718107","Mon Jun 17 23:07:15 +0000 2024","0","@capt_tabasa @nutristud Klo beli susu dilihat2 lagiiiiiii apalgi buat bocil ntar. Jatohnya susu apa aer gula","1802840460722839952","","capt_tabasa","in","","0","0","0","https://x.com/memobalabala/status/1802840460722839952","1478650830244892675","memobalabala"
"1802637706557845652","Mon Jun 17 23:06:34 +0000 2024","0","@joejuannn Gudang gula jayaaa!","1802840288865538349","","joejuannn","in","Bogor, Jawa Barat","0","0","0","https://x.com/apriankey/status/1802840288865538349","1581626595575754753","apriankey"
"1802840109978689676","Mon Jun 17 23:05:52 +0000 2024","0","Yg sugar ini person by person. Abang2 tiktoker ada yg nyoba no sugar itu tetep kankernya nyebar. Bahkan makin banyak pas dia ga makan gula samsek. Nama abangnya pian apa tian gitu lupa","1802840109978689676","","","in","","0","0","0","https://x.com/melioramagna/status/1802840109978689676","1315918894561808384","melioramagna"
"1802648095941173630","Mon Jun 17 23:05:35 +0000 2024","1","@vanc1Bozz Emak2 sini percaya daging gak baik buat di konsumsi yg punya kolestrol dan darah tinggi. Dulu aku kerja di timur tengah mereka konsumsi daging kambing dan sapi tiap hari yg punya kolestrol dan darah tinggi2 sehat2 aja tuh malah mereka ngurangin makanan yg mengandung gula","1802840042228056478","","vanc1Bozz","in","tangerang","0","0","0","https://x.com/Leroy0807/status/1802840042228056478","1219750079562575873","Leroy0807"
"1802839591701094846","Mon Jun 17 23:03:48 +0000 2024","0","Cimory itu susunya cuma 20% Perutku sensitif sama minuman susu+gula. Kalau kadar susunya rendah+gulanya tinggi gas lambungku pasti lgsg naik. Tapi saat minum yg kadar susu 90%+ walaupun dia ada kandungan gula (kubatasi di angka belasan %) aman buat perutku.","1802839591701094846","","","in","changbin's hearteu beateu","0","0","0","https://x.com/seobahnggippy/status/1802839591701094846","212945016","seobahnggippy"
"1802698272664121750","Mon Jun 17 22:59:24 +0000 2024","0","@pacito___ Fb yg ada ","1802838485600178515","","pacito___","in","Bandung ","0","0","0","https://x.com/yaelahhcin/status/1802838485600178515","1321640055593603072","yaelahhcin"
"1802698272664121750","Mon Jun 17 22:59:14 +0000 2024","0","@muduuun Fb yg ada ","1802838444525469985","","muduuun","in","Bandung ","0","0","0","https://x.com/yaelahhcin/status/1802838444525469985","1321640055593603072","yaelahhcin"
"1802837291175747747","Mon Jun 17 22:54:39 +0000 2024","0","G4 G1 L5 Gula 4 sdm Garam 1 sdt Lemak 5 sdm","1802837291175747747","","","in","","0","0","0","https://x.com/sukamiayamaw/status/1802837291175747747","1609314169249222656","sukamiayamaw"
"1802730569471779016","Mon Jun 17 22:51:03 +0000 2024","0","@dxnldy apaan baru aja bangun hehhhh","1802836384132317409","","dxnldy","in","Bandung Kulon, Indonesia","0","1","0","https://x.com/merowkock/status/1802836384132317409","1639645340524761089","merowkock"
"1802830694068130024","Mon Jun 17 22:50:50 +0000 2024","0","@Ariefjunjunan_ u juga bang","1802836328796574112","","Ariefjunjunan_","in","Bandung Kulon, Indonesia","0","0","0","https://x.com/merowkock/status/1802836328796574112","1639645340524761089","merowkock"
