"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1802762604487868809","Mon Jun 17 17:57:53 +0000 2024","0","ga waras. anw first dpt bonus cek khodam gratis khodam kamu kabel USB type c","1802762604487868809","","","in","tanyakan dora","0","1","0","https://x.com/delightfulrain/status/1802762604487868809","1146688297671901184","delightfulrain"
"1802688838911013267","Mon Jun 17 17:56:58 +0000 2024","0","@RandomWorldWar @yusufabd05 @kulimain @muhammad_r Yg pake kabel bukan? ","1802762372903477428","","RandomWorldWar","in","","0","1","0","https://x.com/aditya_bp/status/1802762372903477428","137306133","aditya_bp"
"1802761586375066046","Mon Jun 17 17:53:50 +0000 2024","0","been questioning this kenapa kabel aifon sering bgt rusaknya bzier sedihh https://t.co/jRt7kD9QtK","1802761586375066046","https://pbs.twimg.com/media/GQSyGr9aEAANWJy.jpg","","in","","0","0","0","https://x.com/nadineiputri/status/1802761586375066046","1177972694064590848","nadineiputri"
"1802759402379976895","Mon Jun 17 17:45:09 +0000 2024","0","Mbulet koyo benang bundet kabel pating srawutttt... https://t.co/jvo7VGvHaI","1802759402379976895","https://pbs.twimg.com/media/GQSwH5JbIAASdoE.jpg","","in","London, England","0","0","0","https://x.com/penoahmd/status/1802759402379976895","1660680984457809926","penoahmd"
"1802752571079274643","Mon Jun 17 17:18:01 +0000 2024","0","Temukan dan dapatkan MIXIO MP-06 WIRELESS POWER BANK 10000MAH MAGNETIC MAGSAFE 20W FAST CHARGING TYPE C PD BUILD IN KABEL hanya Rp348.000 di Shopee sekarang juga! https://t.co/957nJ4cjXe #ShopeeID https://t.co/FyqkkQQouz","1802752571079274643","https://pbs.twimg.com/media/GQSp6N3aAAA1JU9.jpg","","in","Lampung Tengah, Lampung","0","0","0","https://x.com/UdienB/status/1802752571079274643","1036089157","UdienB"
"1802747388077187354","Mon Jun 17 16:57:25 +0000 2024","0","Terima kasih kabel LAN ","1802747388077187354","","","in","Pacilian's 24","1","2","0","https://x.com/baiqhaqii/status/1802747388077187354","1650881329037471744","baiqhaqii"
"1802741825935188422","Mon Jun 17 16:56:28 +0000 2024","0","@eblouissanth Kak Bella beneran w putus sambungan kabel wifi mu ya kak ","1802747147403800703","","eblouissanth","in","Maranello, Emilia Romagna","0","0","0","https://x.com/duatigakura/status/1802747147403800703","1456288490140811270","duatigakura"
"1802747092399792379","Mon Jun 17 16:56:14 +0000 2024","0","Perkara workdesk di rumah biar rapih minimum kabel audio speaker mouse dan keyboard gaming semuanya diganti ke wireless yang harganya lumayan Udah kemarin kena musibah duitnya diambil jenius 500k ketambahan service mobil abis 3jt pula. Mona ngess","1802747092399792379","","","in","","0","0","0","https://x.com/raayien15/status/1802747092399792379","91723515","raayien15"
"1802739073540333777","Mon Jun 17 16:47:36 +0000 2024","0","@ossazuu @ossazuu Maaf nih Kak jadi ganggu aktivitasnya. Pastikan kabel patch cord sudah terpasang/tertancap dengan benar pada modemnya. Mimin bantu tindak lanjut yuk infoin ke DM nomor internet atas nama dan alamat. -Yulio","1802744917355335945","","ossazuu","in","Indonesia","0","1","0","https://x.com/IndiHomeCare/status/1802744917355335945","765035200896118789","IndiHomeCare"
"1802741616815312941","Mon Jun 17 16:34:29 +0000 2024","0","WTS (want to sell) Kabel data type c / tipe C KKV fast charging Alasan dijual karena kurang kompatibel sama hp ku. Masih ada struknya buat garansi 7 hari yaaa. Aku beli 50k ku jual 40k ajaa. Dom solo bisa bgt cod https://t.co/XGd4JaP5Sk","1802741616815312941","https://pbs.twimg.com/media/GQSf8J_a8AAvFeS.jpg","","in","","0","0","0","https://x.com/meinetwt/status/1802741616815312941","1240561536239693824","meinetwt"
"1802025566696300580","Mon Jun 17 16:22:45 +0000 2024","0","@recehtapisayng Ojok sejuta UMR malah kdng mek nyisa 1 jt buat pegangan hidup sebulan iku pun lek bener2 rejeki lek gak yo mesti onok2 ae sing ban bocor lah pdam bocor motor rewel sing moro2 iuran opo onok temen kena musibah headset ilang kabel soak duh gusti mugo rejeki ngalir deres.","1802738663182471465","","recehtapisayng","in","","0","0","0","https://x.com/amysyara/status/1802738663182471465","1250093318257520641","amysyara"
"1799314846913290431","Mon Jun 17 16:21:29 +0000 2024","0","@82leeknow Iyaa tapi gulunc kabel dulu ya cil","1802738345900228907","","82leeknow","in","HANBIENC","0","0","0","https://x.com/soijin/status/1802738345900228907","2757649829","soijin"
"1802738323682918638","Mon Jun 17 16:21:24 +0000 2024","0","TAI BANGET KABEL OTG GW ADA YG NYURI GABISA GAMBAR PAKE PENTABB","1802738323682918638","","","in","they/she","0","0","0","https://x.com/gunwookunsoed/status/1802738323682918638","1186633747354935297","gunwookunsoed"
"1802736855533941119","Mon Jun 17 16:18:58 +0000 2024","0","DIEM ATAU AKU GUNTING KABEL WIFI KAMU https://t.co/bSI9cY9gDt","1802737711805276303","https://pbs.twimg.com/ext_tw_video_thumb/1802737701168590848/pu/img/GvwniC5FCj00r-rK.jpg","ohmymy333","in","‘98 ✮⋆˙ 쥬큐♡","1","0","0","https://x.com/ohmymy333/status/1802737711805276303","1523937290262749185","ohmymy333"
"1802736000436957539","Mon Jun 17 16:12:10 +0000 2024","1","mati lampu terus yaa rumah gua anjir belum ada sebulan udh 3/4x mati lampu tolong dong @pln_123 kalau ada masalah di kabel/gardu nya tolong segera diperbaiki kalau iya grgr kebakaran kemarin. mati nya selalu di jam 8-10/11 malam jam2 tidur nih kasian yg besok kerja","1802736000436957539","","","in","","0","2","0","https://x.com/14markvals/status/1802736000436957539","1242360351355617280","14markvals"
"1802732966298447918","Mon Jun 17 16:00:06 +0000 2024","2","wts want to sale haechan kabel set 250rb -udah ada di oren bisa langsung co -tanya condi bolee banget -biaa pakek svidio : sacesterz #ncthaechan #photocard #haechankabel https://t.co/UWvNtl5Qkj","1802732966298447918","https://pbs.twimg.com/media/GQSYEtbaQAErRHw.jpg","","in","","1","0","0","https://x.com/leaaeleaa/status/1802732966298447918","1715662584739975168","leaaeleaa"
"1802727335999000807","Mon Jun 17 15:58:53 +0000 2024","0","@SEULXl Yang gulung kabel juga gapapa sih kak","1802732657006280967","","SEULXl","in","Jaehyuk.  |   2001.. ༊","0","0","0","https://x.com/Rhujiny/status/1802732657006280967","1694129761","Rhujiny"
"1802698302628176375","Mon Jun 17 15:56:25 +0000 2024","0","@Bbong19_ Gulung kabel dulu kali yeeee","1802732036022829259","","Bbong19_","in","","0","0","0","https://x.com/dhe_tyan/status/1802732036022829259","246787888","dhe_tyan"
"1802731841256038406","Mon Jun 17 15:55:38 +0000 2024","0","wts / sell / jual iPhone XR 64 GB (Black) - ex ibox (belum pernah dibongkar/service) - normal semua (face id buttons) - no dent / scaratch (mint cond.) - battery health 76% - dus isi lengkap + kabel ori bawaan buka harga di 4 2 juta. COD tangsel jakarta raya. DM please https://t.co/u83d53xSfQ","1802731841256038406","https://pbs.twimg.com/media/GQSWdTabkAA6H-v.jpg","","in","","0","3","1","https://x.com/giannino_/status/1802731841256038406","188799359","giannino_"
