"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1802638159265800648","Mon Jun 17 23:59:35 +0000 2024","0","@NaratifRakyat thailand minyak mahal tp kos barang murah makanan murah hotel yang best dgn harga brpatutan..","1802853631898620053","","NaratifRakyat","in","","0","0","0","https://x.com/KakashiZaheed/status/1802853631898620053","1421113622596444162","KakashiZaheed"
"1802736811372064916","Mon Jun 17 23:59:31 +0000 2024","15","@najib_bakar_ Harga minyak murah tapi kenapa bendera putih banyak berkibar???!!!","1802853613733048767","","najib_bakar_","in","East Malaysia","0","0","2","https://x.com/Bro2Face/status/1802853613733048767","977476755786055680","Bro2Face"
"1802665257934147965","Mon Jun 17 23:57:59 +0000 2024","0","@mantriss Kementrian Agama NU Ibadah haji NU Lahan Tambang NU masih kurang..... Apa mungkin hasilnya hanya dirasakan petinggi NU?","1802853227047592405","","mantriss","in","medan, indonesia","0","0","0","https://x.com/adiroja/status/1802853227047592405","137688617","adiroja"
"1802551970223489267","Mon Jun 17 23:54:41 +0000 2024","0","@majoritionline lantak dia lah.... tak menurunkan harga minyak pun","1802852395510006218","","majoritionline","in","Malaysia","0","0","0","https://x.com/AmatDotCom/status/1802852395510006218","296081352","AmatDotCom"
"1802851875831877976","Mon Jun 17 23:52:56 +0000 2024","0","enamorBahasa Perancis Gaun Niche Strap Gaun Gaya Lukisan Cat Minyak : https://t.co/rvs8kYiQeg https://t.co/zZzjwkwzu7","1802851956198896122","https://pbs.twimg.com/media/GQUESNbaEAAs5p4.jpg","RecomByYou","in","","0","1","0","https://x.com/RecomByYou/status/1802851956198896122","895167677194543104","RecomByYou"
"1802851701243740234","Mon Jun 17 23:51:55 +0000 2024","34","Cehhh..dah la palatao benak lak tu kau ingat yg bawak minyak tu guna bot/sampan nelayan ke? tula byk sgt baca posting isham jalil.. kan nmpk otak dh tepuuu https://t.co/MvgmUKaDP6","1802851701243740234","https://pbs.twimg.com/media/GQUEEFTbIAA4-35.jpg","","in","Johor Bahru, Johor","0","6","15","https://x.com/Missmeow7777/status/1802851701243740234","1596416552743890944","Missmeow7777"
"1802851569383116900","Mon Jun 17 23:51:24 +0000 2024","2","#BHnasional Mekanisme menurunkan harga barangan tertakluk kepada kos pelbagai barangan mentah dalam proses pengeluaran. Tidak semua bahan mentah naik harga. Oleh itu peniaga perlu beretika ketika menentukan harga barangan apabila harga minyak naik. https://t.co/4GivLuRlWu","1802851569383116900","","","in","Malaysia","0","0","0","https://x.com/bharianmy/status/1802851569383116900","63070483","bharianmy"
"1802851429469884431","Mon Jun 17 23:50:50 +0000 2024","4","Kepada yg ramai menyumpah konon sesak kereta dari singapura nk curi minyak bersubsidi mesia tlg hadam gambar di bawah ni! Aku upload gambar ni utk pengetahuan yg tk ada passport yg tak pernah jejak kaki ke tanah singapore! https://t.co/RmBO6tVy9B","1802851429469884431","https://pbs.twimg.com/media/GQUD0fnaQAAK8qM.jpg","","in","","0","0","0","https://x.com/ShahnazAzizTT/status/1802851429469884431","1635667944905793536","ShahnazAzizTT"
"1802851306505117775","Mon Jun 17 23:50:21 +0000 2024","0","Terkenal Maju Karena Penghasil Minyak Dumai Siap Pimpin 5 Kabupaten Untuk Jadi Ibukota Provinsi Riau Pesisir Perekonomian Akan Lebih Maju https://t.co/wvlQ4wEqox","1802851306505117775","","","in","Riau, Indonesia","0","0","0","https://x.com/sari_arwita/status/1802851306505117775","1508602852276846592","sari_arwita"
"1802251124378144928","Mon Jun 17 23:50:00 +0000 2024","0","@BadBoy2662 Org bising sebab Masalah Warga Asing dan penyeludup Rakyat Malaysia seluruhnya kena tanggung. Nak tanya penyeludup dah kena tangkap ke..? Warga asing masih tak beli minyak ke disini .? Kenapa salah nyamuk bakar kelambu..?","1802851220476084667","","BadBoy2662","in","Bandar Kuala Lumpur, Wilayah P","0","0","0","https://x.com/1_schuey/status/1802851220476084667","1008725726","1_schuey"
"1802597086598418516","Mon Jun 17 23:47:57 +0000 2024","0","@saythenameay Namapknya org² PAS yg kaki curi minyak kepanasan...tak dapat mentekedarah hasil duit haram lagi...","1802850703083208709","","saythenameay","in","Kuala Lumpur, Kota Kinabalu","0","0","0","https://x.com/ArishClariemira/status/1802850703083208709","1098243052747943937","ArishClariemira"
"1802850396982972605","Mon Jun 17 23:46:44 +0000 2024","0","Hemat utilisasi unit ko mungkin mukasuik liau ndak bara na jalan oto.... Ndak bara kalua pitih pambali minyak... lalok se oto di pool lai.... Sudah tu juragan dipajuaannyo se puso tu ka urang tambang lai... Pai ka surau se juragan lai... Dunia k dipaturuik an https://t.co/JkHodFbJC8","1802850396982972605","https://pbs.twimg.com/media/GQUC4ZVbUAANffH.jpg","","in","land of Paradox","0","1","0","https://x.com/Jominangg/status/1802850396982972605","394579467","Jominangg"
"1802849639043039248","Mon Jun 17 23:43:43 +0000 2024","0","maupun dia pake kacamata gaya dimata gue dia tetep bayi bau minyak telon https://t.co/AupeQzDyZy","1802849639043039248","https://pbs.twimg.com/media/GQUCKX8aMAAhEMA.jpg","","in","gunvin","0","0","0","https://x.com/KGVSHB/status/1802849639043039248","1459430100919742464","KGVSHB"
