"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1802728685197508719","Mon Jun 17 18:16:12 +0000 2024","0","@gearalaide ༘⋆ ꙳ Kalau radang tenggorokan bisa minum Methylprednisolon yang dosisnya 4 atau 8mg yah Cici biasanya yang dosis 4mg juga udah cukup. Tapi kalau Cici gak mau minum obat masih ada opsi SP Troches Degirol atau Efisol-C. Ini modelnya tablet hisap.","1802767215739220448","","gearalaide","in","𝓣𝒉𝒆 𝒆𝒕𝒉𝒆𝒓𝒈𝒖𝒂𝒓𝒅𑁤","0","0","0","https://x.com/yasatse/status/1802767215739220448","1791057440714502144","yasatse"
"1802764289515946258","Mon Jun 17 18:04:35 +0000 2024","0","Mending pen tablet harga 300-an apa stylus pen harga 200 guys.. wdyt aku butuh saran... Apa gas nabung dua duanya aja? Aku gabisa gambar anatomi di digital kalau ga pake pen...","1802764289515946258","","","in","rarely online era","0","0","0","https://x.com/ffr1e_/status/1802764289515946258","1733521150263877632","ffr1e_"
"1802761556914327842","Mon Jun 17 17:53:43 +0000 2024","0","Bingung mau beli tablet android tp knp mahal bgt kl di pikir2 beti bgt sm ipad","1802761556914327842","","","in","Setia Budi, Indonesia","0","0","0","https://x.com/startwletterb/status/1802761556914327842","1787009299912482816","startwletterb"
"1802756709083132033","Mon Jun 17 17:34:27 +0000 2024","0","Nyatetnya scr digital pake tablet trus lucu2 banyak doodle-nya","1802756709083132033","","","in","genshin, valo, hsr, bbb, etc","0","0","0","https://x.com/prmsthy/status/1802756709083132033","1175021458239569923","prmsthy"
"1802746155371257896","Mon Jun 17 16:52:31 +0000 2024","0","tablet vitamin gede bgt kalo diminum berasa dicekek","1802746155371257896","","","in","Rotterdam, NY","0","0","0","https://x.com/warmbitious/status/1802746155371257896","1041891319","warmbitious"
"1802744028917801303","Mon Jun 17 16:44:04 +0000 2024","0","pdahal cuma mam sate 8 tusuk tp knp dah berasa darah tinggi y mana abis minum tablet tambah darah pulaa","1802744028917801303","","","in","'04","0","1","0","https://x.com/bigggsecret_/status/1802744028917801303","3260675268","bigggsecret_"
"1802741167609836003","Mon Jun 17 16:32:42 +0000 2024","0","Kepake juga ini tablet jadul https://t.co/igFtDkYpy4","1802741167609836003","https://pbs.twimg.com/media/GQSficWboAAfGFf.jpg","","in","","0","0","0","https://x.com/mcdayamgulai/status/1802741167609836003","1393532577378566145","mcdayamgulai"
"1802741104921686511","Mon Jun 17 16:32:27 +0000 2024","0","Guysss boleh makan proomagh 2 tablet sekaligus gak sih? Soalnya aku abis makan satu gak mempan. Biasanya emang obat ku omeprazol kalau gak sucralfate. Tapi aku gak bawa dan ini kram banget ","1802741104921686511","","","in","","0","4","0","https://x.com/satelitnyabumi/status/1802741104921686511","1387994601458262021","satelitnyabumi"
"1802739310401356276","Mon Jun 17 16:30:26 +0000 2024","0","@myla_makee Bp tablet poda poirukanga mama","1802740598090113365","","myla_makee","in","","0","1","0","https://x.com/krishsenthil5/status/1802740598090113365","1543461174511300608","krishsenthil5"
"1802726836406755442","Mon Jun 17 16:18:25 +0000 2024","0","@insanedrafts_ Bhai calpol fever ki tablet hai itni famous 1 ghante mai fever chla jaayega","1802737572428583405","","insanedrafts_","in","Bed","0","2","0","https://x.com/_Masalaa_dosa/status/1802737572428583405","1366388714964881409","_Masalaa_dosa"
"1802501754703286369","Mon Jun 17 15:38:40 +0000 2024","0","@mynamejhn suplemen zat besi jii biar gak anemia biasanya org2 minumnya versi tablet bisa yg sangobion dkk kl gue cari yg cair minumnya merk tonikum bayer ayo minummmm rutin seminggu 1x","1802727571886653922","","mynamejhn","in","nutritionist","0","1","0","https://x.com/jussamein/status/1802727571886653922","1008272864456273925","jussamein"
"1802720193640374760","Mon Jun 17 15:20:45 +0000 2024","0","@__jonoo sekali minum max dua tablet bg paling diulang empat jam setelah nya","1802723062225510854","","__jonoo","in","Indonesia","0","0","0","https://x.com/rrkn___/status/1802723062225510854","211516324","rrkn___"
"1802704589034254507","Mon Jun 17 15:19:33 +0000 2024","0","@yuridalamkloset oh aku pernah tp huion ak cri yutub tutorial gt trs di perintilin isiny kyknya ada wire/metal yg loose gt di dalemnya tp huion tablet ny memang rada old school si","1802722758448803976","","yuridalamkloset","in","23% vanilla ","0","0","0","https://x.com/quasontz/status/1802722758448803976","1142823540028166144","quasontz"
"1802720989052010687","Mon Jun 17 15:12:31 +0000 2024","0","Tablet apa yang bagus untuk conteng2. Range harga RM2-3k. Anyone?","1802720989052010687","","","in","Pahang, Malaysia","0","3","0","https://x.com/FarhanLayali/status/1802720989052010687","555507155","FarhanLayali"
"1802560402141655144","Mon Jun 17 15:10:12 +0000 2024","0","@celureo_azul eh um tablet KKKKK","1802720407897727063","","celureo_azul","in","","0","0","0","https://x.com/paradigelina/status/1802720407897727063","1549256649478754304","paradigelina"
